EmployeeNumber,Age,age_band,Gender,MaritalStatus,Department,JobRole,JobLevel,Education_label,EducationField,BusinessTravel,DistanceFromHome,OverTime,MonthlyIncome,income_quartile,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,YearsAtCompany,tenure_band,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,TrainingTimesLastYear,JobSatisfaction_label,EnvironmentSatisfaction_label,RelationshipSatisfaction_label,JobInvolvement_label,WorkLifeBalance_label,satisfaction_band,PerformanceRating,Attrition,attrition_flag
142,25,18 to 25,Male,Single,Sales,Sales Executive,2,3 Bachelor,Marketing,Travel_Rarely,5,Yes,5744,Q3,11,0,6,6,6 to 10,4,0,3,1,1,3 High,3 High,4 Very High,2 Medium,3 Better,Good,3,Yes,1
143,25,18 to 25,Male,Married,Research & Development,Research Scientist,1,1 Below College,Medical,Travel_Rarely,7,No,2889,Q1 lowest,11,2,2,2,1 to 2,2,2,1,1,2,4 Very High,4 Very High,3 High,2 Medium,3 Better,Good,3,No,0
144,22,18 to 25,Female,Single,Research & Development,Laboratory Technician,1,3 Bachelor,Medical,Travel_Rarely,15,No,2871,Q1 lowest,15,0,1,0,Under 1 year,0,0,0,1,5,4 Very High,2 Medium,3 High,3 High,3 Better,Good,3,No,0
145,51,46 to 60,Female,Single,Research & Development,Healthcare Representative,3,4 Master,Medical,Travel_Frequently,1,No,7484,Q3,20,0,23,13,Over 10,12,12,8,3,1,1 Low,1 Low,3 High,2 Medium,2 Good,Low,4,No,0
147,34,26 to 35,Male,Single,Research & Development,Laboratory Technician,2,3 Bachelor,Life Sciences,Travel_Frequently,7,Yes,6074,Q3,24,0,9,9,6 to 10,7,0,6,1,3,3 High,1 Low,4 Very High,1 Low,3 Better,Below average,4,Yes,1
148,54,46 to 60,Female,Single,Human Resources,Manager,4,3 Bachelor,Human Resources,Non-Travel,26,Yes,17328,Q4 highest,12,0,23,5,3 to 5,3,4,4,2,3,4 Very High,4 Very High,3 High,4 Very High,3 Better,Good,3,No,0
150,24,18 to 25,Male,Married,Research & Development,Laboratory Technician,1,1 Below College,Life Sciences,Travel_Rarely,18,No,2774,Q1 lowest,12,1,6,5,3 to 5,3,1,2,0,2,3 High,2 Medium,3 High,3 High,3 Better,Below average,3,No,0
151,34,26 to 35,Female,Divorced,Research & Development,Research Scientist,2,4 Master,Life Sciences,Travel_Rarely,6,No,4505,Q2,15,1,12,1,Under 1 year,0,0,0,6,3,2 Medium,3 High,3 High,2 Medium,3 Better,Below average,3,No,0
152,37,36 to 45,Male,Single,Sales,Sales Executive,3,3 Bachelor,Life Sciences,Travel_Rarely,3,No,7428,Q3,12,0,12,5,3 to 5,3,1,3,2,3,4 Very High,3 High,1 Low,3 High,3 Better,Below average,3,No,0
153,34,26 to 35,Female,Single,Research & Development,Manager,3,3 Bachelor,Medical,Travel_Rarely,5,No,11631,Q4 highest,12,0,14,11,Over 10,10,5,8,2,6,1 Low,3 High,4 Very High,2 Medium,3 Better,Below average,3,No,0
154,36,36 to 45,Female,Married,Sales,Sales Executive,3,2 College,Technical Degree,Travel_Frequently,11,No,9738,Q4 highest,14,1,10,9,6 to 10,7,2,8,0,6,4 Very High,2 Medium,3 High,3 High,3 Better,Good,3,No,0
155,36,36 to 45,Female,Divorced,Research & Development,Laboratory Technician,1,2 College,Life Sciences,Travel_Rarely,3,No,2835,Q1 lowest,22,1,7,1,Under 1 year,0,0,0,5,2,4 Very High,1 Low,1 Low,3 High,3 Better,Below average,4,No,0
158,43,36 to 45,Male,Married,Sales,Manager,4,2 College,Life Sciences,Travel_Frequently,26,Yes,16959,Q4 highest,12,2,25,25,Over 10,12,4,12,1,3,4 Very High,3 High,4 Very High,3 High,4 Best,High,3,No,0
159,30,26 to 35,Male,Divorced,Research & Development,Research Scientist,1,3 Bachelor,Life Sciences,Travel_Frequently,23,No,2613,Q1 lowest,25,3,10,10,6 to 10,7,0,9,1,2,3 High,1 Low,3 High,1 Low,2 Good,Below average,4,No,0
160,33,26 to 35,Male,Married,Sales,Sales Executive,2,2 College,Marketing,Non-Travel,22,No,6146,Q3,13,1,8,7,6 to 10,7,0,7,0,2,2 Medium,3 High,1 Low,3 High,4 Best,Below average,3,No,0
161,56,46 to 60,Female,Married,Research & Development,Research Scientist,1,4 Master,Life Sciences,Travel_Rarely,14,Yes,4963,Q3,18,3,7,5,3 to 5,4,4,3,9,2,2 Medium,2 Medium,1 Low,3 High,3 Better,Low,3,Yes,1
162,51,46 to 60,Male,Single,Research & Development,Research Director,5,3 Bachelor,Life Sciences,Travel_Rarely,6,No,19537,Q4 highest,13,0,23,20,Over 10,18,15,15,7,5,3 High,1 Low,3 High,3 High,3 Better,Below average,3,No,0
163,31,26 to 35,Male,Married,Sales,Sales Executive,2,4 Master,Life Sciences,Travel_Rarely,6,Yes,6172,Q3,18,0,12,7,6 to 10,7,7,7,4,3,3 High,2 Medium,2 Medium,1 Low,2 Good,Below average,3,Yes,1
164,26,26 to 35,Female,Married,Research & Development,Research Scientist,1,3 Bachelor,Other,Travel_Rarely,6,No,2368,Q1 lowest,19,0,5,5,3 to 5,4,4,3,1,3,2 Medium,3 High,3 High,2 Medium,2 Good,Below average,3,No,0
165,58,46 to 60,Female,Married,Research & Development,Healthcare Representative,3,4 Master,Medical,Travel_Rarely,23,No,10312,Q4 highest,12,1,40,40,Over 10,10,15,6,1,3,4 Very High,4 Very High,4 Very High,3 High,2 Good,Good,3,Yes,1
167,19,18 to 25,Male,Single,Sales,Sales Representative,1,1 Below College,Marketing,Travel_Rarely,22,Yes,1675,Q1 lowest,19,0,0,0,Under 1 year,0,0,0,1,2,3 High,4 Very High,4 Very High,3 High,2 Good,Good,3,Yes,1
169,22,18 to 25,Male,Married,Research & Development,Laboratory Technician,1,1 Below College,Technical Degree,Travel_Rarely,2,No,2523,Q1 lowest,14,1,3,2,1 to 2,1,2,1,0,2,4 Very High,3 High,3 High,3 High,3 Better,Good,3,No,0
170,49,46 to 60,Female,Married,Research & Development,Manufacturing Director,2,4 Master,Medical,Travel_Rarely,20,No,6567,Q3,14,0,16,15,Over 10,11,5,11,1,2,1 Low,3 High,3 High,3 High,2 Good,Below average,3,No,0
171,43,36 to 45,Female,Single,Research & Development,Research Scientist,1,3 Bachelor,Medical,Travel_Frequently,28,No,4739,Q2,12,0,18,3,3 to 5,2,1,2,4,2,3 High,2 Medium,4 Very High,4 Very High,3 Better,Good,3,No,0
174,50,46 to 60,Female,Single,Sales,Sales Executive,3,3 Bachelor,Marketing,Travel_Frequently,12,No,9208,Q4 highest,11,0,16,2,1 to 2,2,2,1,4,3,4 Very High,3 High,4 Very High,3 High,3 Better,Good,3,No,0
175,31,26 to 35,Female,Married,Sales,Sales Executive,2,3 Bachelor,Life Sciences,Travel_Rarely,20,Yes,4559,Q2,11,1,4,2,1 to 2,2,2,2,3,2,3 High,2 Medium,3 High,1 Low,3 Better,Below average,3,Yes,1
176,41,36 to 45,Male,Divorced,Sales,Sales Executive,3,1 Below College,Life Sciences,Travel_Rarely,9,Yes,8189,Q3,13,1,12,9,6 to 10,7,0,7,3,2,3 High,3 High,3 High,3 High,3 Better,Good,3,No,0
177,26,26 to 35,Female,Married,Human Resources,Human Resources,1,1 Below College,Life Sciences,Travel_Rarely,25,No,2942,Q2,23,1,8,8,6 to 10,7,5,7,1,3,3 High,3 High,4 Very High,3 High,3 Better,Good,4,No,0
178,36,36 to 45,Male,Divorced,Research & Development,Manufacturing Director,2,2 College,Medical,Travel_Rarely,6,No,4941,Q3,20,2,7,3,3 to 5,2,0,1,6,0,2 Medium,2 Medium,4 Very High,3 High,3 Better,Below average,4,No,0
179,51,46 to 60,Male,Single,Research & Development,Manufacturing Director,3,4 Master,Life Sciences,Travel_Frequently,8,No,10650,Q4 highest,15,0,18,4,3 to 5,2,0,3,2,2,4 Very High,1 Low,4 Very High,1 Low,3 Better,Good,3,Yes,1
182,39,36 to 45,Female,Married,Sales,Sales Executive,2,4 Master,Life Sciences,Travel_Rarely,4,No,5902,Q3,14,1,17,15,Over 10,11,5,9,4,1,3 High,4 Very High,3 High,2 Medium,4 Best,Good,3,No,0
183,25,18 to 25,Male,Married,Sales,Sales Executive,2,3 Bachelor,Life Sciences,Travel_Rarely,28,No,8639,Q4 highest,18,0,6,2,1 to 2,2,2,2,2,3,3 High,1 Low,4 Very High,2 Medium,3 Better,Below average,3,No,0
184,30,26 to 35,Male,Married,Human Resources,Human Resources,2,3 Bachelor,Human Resources,Travel_Rarely,9,Yes,6347,Q3,19,0,12,11,Over 10,9,4,7,0,2,4 Very High,3 High,4 Very High,3 High,1 Bad,Good,3,No,0
190,32,26 to 35,Female,Single,Research & Development,Laboratory Technician,1,3 Bachelor,Medical,Travel_Rarely,9,No,4200,Q2,22,0,10,5,3 to 5,4,0,4,7,2,1 Low,1 Low,1 Low,3 High,4 Best,Low,4,Yes,1
192,45,36 to 45,Male,Single,Research & Development,Research Scientist,1,3 Bachelor,Medical,Travel_Rarely,29,No,3452,Q2,13,0,9,6,6 to 10,5,0,3,5,2,4 Very High,3 High,2 Medium,3 High,2 Good,Below average,3,No,0
193,38,36 to 45,Female,Single,Research & Development,Research Scientist,2,5 Doctor,Technical Degree,Travel_Rarely,3,Yes,4317,Q2,20,0,19,3,3 to 5,2,2,2,3,2,3 High,4 Very High,2 Medium,3 High,3 Better,Good,4,No,0
194,30,26 to 35,Female,Single,Research & Development,Research Scientist,1,3 Bachelor,Life Sciences,Travel_Rarely,18,No,2632,Q1 lowest,14,0,5,5,3 to 5,4,0,4,1,4,3 High,1 Low,3 High,3 High,2 Good,Below average,3,No,0
195,32,26 to 35,Male,Divorced,Sales,Sales Executive,2,2 College,Medical,Travel_Frequently,9,No,4668,Q2,17,3,9,8,6 to 10,7,0,7,0,2,4 Very High,4 Very High,4 Very High,1 Low,4 Best,High,3,No,0
197,30,26 to 35,Female,Divorced,Research & Development,Research Scientist,1,3 Bachelor,Technical Degree,Travel_Rarely,5,No,3204,Q2,14,1,8,3,3 to 5,2,2,2,5,3,1 Low,4 Very High,4 Very High,3 High,3 Better,Good,3,No,0
198,30,26 to 35,Male,Single,Research & Development,Laboratory Technician,1,1 Below College,Medical,Travel_Rarely,2,No,2720,Q1 lowest,13,0,6,5,3 to 5,3,1,2,0,3,4 Very High,2 Medium,4 Very High,2 Medium,3 Better,Good,3,No,0
199,41,36 to 45,Male,Divorced,Research & Development,Manager,4,3 Bachelor,Life Sciences,Travel_Frequently,10,No,17181,Q4 highest,13,1,21,7,6 to 10,6,7,7,4,2,1 Low,4 Very High,2 Medium,2 Medium,2 Good,Below average,3,No,0
200,41,36 to 45,Male,Married,Research & Development,Laboratory Technician,1,4 Master,Life Sciences,Travel_Rarely,9,No,2238,Q1 lowest,21,1,7,5,3 to 5,0,1,4,2,2,1 Low,3 High,4 Very High,3 High,3 Better,Below average,4,No,0
201,19,18 to 25,Female,Single,Research & Development,Laboratory Technician,1,1 Below College,Medical,Travel_Rarely,3,No,1483,Q1 lowest,14,0,1,1,Under 1 year,0,0,0,1,3,2 Medium,2 Medium,4 Very High,3 High,3 Better,Below average,3,No,0
202,40,36 to 45,Female,Divorced,Research & Development,Research Scientist,2,3 Bachelor,Medical,Travel_Frequently,26,No,5605,Q3,11,1,20,20,Over 10,7,2,13,1,2,2 Medium,2 Medium,1 Low,3 High,3 Better,Low,3,No,0
204,35,26 to 35,Male,Married,Sales,Sales Executive,3,5 Doctor,Marketing,Travel_Rarely,1,No,7295,Q3,13,2,10,10,6 to 10,8,0,6,1,3,2 Medium,3 High,1 Low,3 High,3 Better,Below average,3,No,0
205,53,46 to 60,Male,Married,Sales,Sales Representative,2,2 College,Marketing,Travel_Rarely,6,Yes,2306,Q1 lowest,20,1,13,7,6 to 10,7,4,5,2,3,3 High,2 Medium,4 Very High,3 High,1 Bad,Below average,4,No,0
206,45,36 to 45,Male,Divorced,Research & Development,Laboratory Technician,2,3 Bachelor,Life Sciences,Travel_Rarely,9,No,2348,Q1 lowest,18,1,20,17,Over 10,9,0,15,8,2,2 Medium,2 Medium,3 High,3 High,1 Bad,Low,3,No,0
207,32,26 to 35,Female,Single,Sales,Sales Executive,3,3 Bachelor,Marketing,Travel_Frequently,8,No,8998,Q4 highest,14,0,9,9,6 to 10,8,3,7,1,2,4 Very High,2 Medium,4 Very High,3 High,3 Better,Good,3,No,0
208,29,26 to 35,Male,Married,Research & Development,Manufacturing Director,2,1 Below College,Technical Degree,Non-Travel,1,No,4319,Q2,13,1,10,10,6 to 10,7,0,9,1,1,3 High,4 Very High,1 Low,3 High,3 Better,Below average,3,No,0
211,51,46 to 60,Male,Married,Research & Development,Manufacturing Director,2,4 Master,Medical,Travel_Rarely,7,No,6132,Q3,17,0,10,1,Under 1 year,0,0,0,2,2,3 High,2 Medium,3 High,2 Medium,3 Better,Below average,3,No,0
214,58,46 to 60,Female,Married,Research & Development,Research Scientist,1,3 Bachelor,Medical,Travel_Rarely,9,Yes,3346,Q2,20,1,9,1,Under 1 year,0,0,0,4,3,2 Medium,2 Medium,2 Medium,2 Medium,2 Good,Low,4,No,0
215,40,36 to 45,Male,Married,Sales,Sales Executive,3,4 Master,Marketing,Travel_Rarely,4,No,10855,Q4 highest,11,1,15,12,Over 10,11,2,11,7,2,4 Very High,3 High,1 Low,2 Medium,2 Good,Below average,3,No,0
216,34,26 to 35,Female,Married,Sales,Sales Representative,1,4 Master,Marketing,Travel_Frequently,2,No,2231,Q1 lowest,18,1,6,4,3 to 5,3,1,2,6,3,3 High,3 High,4 Very High,3 High,3 Better,Good,3,No,0
217,22,18 to 25,Male,Married,Research & Development,Research Scientist,1,1 Below College,Medical,Travel_Rarely,19,No,2323,Q1 lowest,24,2,2,2,1 to 2,2,2,2,1,6,4 Very High,3 High,1 Low,3 High,3 Better,Below average,4,No,0
218,27,26 to 35,Male,Divorced,Research & Development,Research Scientist,1,3 Bachelor,Medical,Non-Travel,9,No,2024,Q1 lowest,18,1,6,2,1 to 2,2,2,2,6,1,2 Medium,4 Very High,4 Very High,3 High,1 Bad,Below average,3,No,0
221,28,26 to 35,Male,Married,Research & Development,Research Scientist,1,3 Bachelor,Medical,Travel_Rarely,21,No,2713,Q1 lowest,11,1,5,5,3 to 5,2,0,2,1,2,4 Very High,3 High,3 High,3 High,1 Bad,Below average,3,No,0
223,57,46 to 60,Male,Divorced,Research & Development,Healthcare Representative,3,2 College,Life Sciences,Travel_Rarely,24,Yes,9439,Q4 highest,16,1,12,5,3 to 5,3,1,4,3,2,4 Very High,3 High,2 Medium,4 Very High,1 Bad,Below average,3,No,0
224,27,26 to 35,Male,Divorced,Research & Development,Research Scientist,1,3 Bachelor,Medical,Non-Travel,3,Yes,2566,Q1 lowest,15,1,1,1,Under 1 year,1,0,1,1,2,3 High,3 High,4 Very High,2 Medium,2 Good,Good,3,No,0
226,50,46 to 60,Female,Single,Research & Development,Manager,5,3 Bachelor,Life Sciences,Travel_Rarely,11,No,19926,Q4 highest,15,0,21,5,3 to 5,4,4,4,3,5,2 Medium,3 High,2 Medium,3 High,3 Better,Below average,3,No,0
227,41,36 to 45,Male,Divorced,Research & Development,Research Scientist,1,3 Bachelor,Life Sciences,Travel_Rarely,14,No,2451,Q1 lowest,12,1,13,9,6 to 10,8,1,8,4,2,3 High,1 Low,1 Low,3 High,3 Better,Low,3,No,0
228,30,26 to 35,Female,Married,Sales,Sales Executive,3,3 Bachelor,Life Sciences,Travel_Rarely,5,No,9419,Q4 highest,12,1,12,10,6 to 10,9,7,4,2,2,4 Very High,2 Medium,3 High,3 High,3 Better,Good,3,No,0
230,38,36 to 45,Female,Single,Sales,Sales Executive,2,4 Master,Life Sciences,Travel_Rarely,1,No,8686,Q4 highest,22,0,12,8,6 to 10,3,0,7,4,2,4 Very High,1 Low,3 High,2 Medium,4 Best,Good,4,No,0
231,32,26 to 35,Male,Single,Research & Development,Research Scientist,1,5 Doctor,Life Sciences,Travel_Rarely,6,No,3038,Q2,20,0,8,5,3 to 5,4,1,4,3,2,3 High,3 High,1 Low,3 High,3 Better,Below average,4,No,0
233,27,26 to 35,Male,Married,Research & Development,Research Scientist,1,3 Bachelor,Technical Degree,Travel_Rarely,17,Yes,3058,Q2,16,1,6,5,3 to 5,2,1,1,0,3,2 Medium,3 High,4 Very High,3 High,2 Good,Below average,3,No,0
235,19,18 to 25,Female,Single,Sales,Sales Representative,1,1 Below College,Technical Degree,Travel_Frequently,1,No,2325,Q1 lowest,21,0,1,0,Under 1 year,0,0,0,0,5,1 Low,3 High,1 Low,1 Low,4 Best,Below average,4,Yes,1
238,36,36 to 45,Male,Single,Research & Development,Laboratory Technician,1,2 College,Medical,Travel_Frequently,3,No,2088,Q1 lowest,12,0,13,8,6 to 10,7,7,2,4,3,2 Medium,4 Very High,3 High,3 High,2 Good,Below average,3,No,0
239,30,26 to 35,Male,Divorced,Research & Development,Laboratory Technician,2,3 Bachelor,Medical,Non-Travel,9,No,3072,Q2,11,2,12,12,Over 10,9,6,10,1,4,1 Low,3 High,3 High,3 High,3 Better,Below average,3,No,0
240,45,36 to 45,Female,Divorced,Sales,Sales Executive,2,2 College,Life Sciences,Travel_Rarely,4,Yes,5006,Q3,11,1,9,5,3 to 5,4,0,3,4,3,1 Low,3 High,1 Low,3 High,4 Best,Below average,3,No,0
241,56,46 to 60,Female,Divorced,Research & Development,Research Scientist,1,3 Bachelor,Life Sciences,Travel_Rarely,8,Yes,4257,Q2,18,1,19,2,1 to 2,2,2,2,4,3,1 Low,3 High,3 High,3 High,3 Better,Below average,3,No,0
242,33,26 to 35,Male,Single,Research & Development,Research Scientist,1,3 Bachelor,Life Sciences,Travel_Rarely,2,No,2500,Q1 lowest,14,0,4,3,3 to 5,1,0,2,0,2,4 Very High,3 High,1 Low,3 High,4 Best,Good,3,No,0
243,19,18 to 25,Male,Single,Research & Development,Laboratory Technician,1,3 Bachelor,Life Sciences,Travel_Rarely,2,No,1102,Q1 lowest,22,0,1,1,Under 1 year,0,1,0,1,3,4 Very High,2 Medium,3 High,2 Medium,2 Good,Below average,4,Yes,1
244,46,46 to 60,Female,Divorced,Sales,Sales Executive,3,2 College,Marketing,Travel_Rarely,1,No,10453,Q4 highest,25,3,24,24,Over 10,13,15,7,1,2,1 Low,2 Medium,3 High,3 High,3 Better,Below average,4,No,0
245,38,36 to 45,Female,Single,Research & Development,Laboratory Technician,1,2 College,Life Sciences,Travel_Rarely,9,No,2288,Q1 lowest,12,0,2,2,1 to 2,2,2,1,1,3,4 Very High,3 High,3 High,3 High,3 Better,Good,3,No,0
246,31,26 to 35,Female,Married,Research & Development,Research Scientist,1,1 Below College,Medical,Travel_Rarely,12,Yes,3929,Q2,23,1,7,4,3 to 5,2,0,2,8,0,4 Very High,3 High,3 High,3 High,3 Better,Good,4,No,0
247,34,26 to 35,Female,Single,Research & Development,Research Scientist,1,2 College,Medical,Travel_Rarely,27,No,2311,Q1 lowest,15,0,9,3,3 to 5,2,1,2,2,3,2 Medium,4 Very High,4 Very High,3 High,3 Better,Good,3,No,0
248,41,36 to 45,Female,Single,Sales,Sales Representative,1,2 College,Marketing,Travel_Rarely,20,Yes,3140,Q2,22,0,4,4,3 to 5,3,0,2,1,5,2 Medium,2 Medium,4 Very High,3 High,2 Good,Below average,4,Yes,1
249,50,46 to 60,Male,Married,Research & Development,Laboratory Technician,1,3 Bachelor,Medical,Travel_Rarely,1,No,3690,Q2,15,1,5,3,3 to 5,2,0,2,2,2,3 High,3 High,4 Very High,2 Medium,2 Good,Good,3,No,0
250,53,46 to 60,Female,Divorced,Research & Development,Manufacturing Director,2,2 College,Medical,Travel_Rarely,13,No,4450,Q2,11,2,5,4,3 to 5,2,1,3,1,3,1 Low,4 Very High,3 High,4 Very High,3 Better,Below average,3,No,0
252,33,26 to 35,Female,Married,Research & Development,Research Scientist,1,3 Bachelor,Medical,Travel_Rarely,14,No,2756,Q1 lowest,13,1,8,8,6 to 10,7,1,6,1,5,2 Medium,4 Very High,4 Very High,3 High,3 Better,Good,3,No,0
253,40,36 to 45,Female,Married,Research & Development,Manager,5,1 Below College,Medical,Travel_Rarely,4,No,19033,Q4 highest,14,1,21,20,Over 10,8,9,9,1,2,3 High,4 Very High,2 Medium,3 High,3 Better,Good,3,No,0
254,55,46 to 60,Male,Single,Research & Development,Research Director,5,4 Master,Medical,Travel_Rarely,14,No,18722,Q4 highest,11,0,36,24,Over 10,15,2,15,8,3,2 Medium,3 High,4 Very High,4 Very High,3 Better,Good,3,No,0
256,34,26 to 35,Male,Married,Research & Development,Manufacturing Director,2,1 Below College,Life Sciences,Travel_Frequently,2,No,9547,Q4 highest,17,0,10,10,6 to 10,9,1,9,1,2,3 High,4 Very High,3 High,2 Medium,2 Good,Good,3,No,0
258,51,46 to 60,Female,Single,Research & Development,Healthcare Representative,4,3 Bachelor,Medical,Travel_Rarely,3,No,13734,Q4 highest,18,0,21,7,6 to 10,7,1,0,3,6,2 Medium,4 Very High,3 High,3 High,3 Better,Good,3,No,0
259,52,46 to 60,Male,Married,Research & Development,Manager,5,4 Master,Life Sciences,Travel_Rarely,1,No,19999,Q4 highest,14,1,34,33,Over 10,18,11,9,0,5,3 High,3 High,1 Low,2 Medium,3 Better,Below average,3,No,0
260,27,26 to 35,Female,Single,Research & Development,Research Scientist,1,3 Bachelor,Medical,Travel_Rarely,9,No,2279,Q1 lowest,16,0,7,7,6 to 10,7,0,3,1,2,2 Medium,4 Very High,4 Very High,3 High,2 Good,Good,3,No,0
261,35,26 to 35,Male,Married,Research & Development,Manufacturing Director,2,2 College,Life Sciences,Travel_Rarely,23,Yes,5916,Q3,13,0,8,1,Under 1 year,0,0,1,3,1,3 High,2 Medium,1 Low,2 Medium,3 Better,Below average,3,Yes,1
262,43,36 to 45,Male,Divorced,Research & Development,Research Scientist,1,3 Bachelor,Medical,Non-Travel,7,No,2089,Q1 lowest,14,3,7,5,3 to 5,4,2,2,4,3,4 Very High,4 Very High,4 Very High,4 Very High,4 Best,High,3,No,0
264,45,36 to 45,Male,Married,Research & Development,Manager,4,2 College,Medical,Non-Travel,2,No,16792,Q4 highest,23,1,22,20,Over 10,8,11,8,9,1,4 Very High,1 Low,4 Very High,2 Medium,3 Better,Good,4,No,0
267,37,36 to 45,Male,Married,Research & Development,Research Scientist,1,3 Bachelor,Life Sciences,Travel_Rarely,21,Yes,3564,Q2,12,1,8,8,6 to 10,7,1,7,1,3,1 Low,2 Medium,1 Low,4 Very High,2 Good,Low,3,No,0
269,35,26 to 35,Female,Single,Research & Development,Laboratory Technician,2,3 Bachelor,Medical,Travel_Frequently,2,No,4425,Q2,11,0,10,6,6 to 10,2,1,2,5,5,2 Medium,2 Medium,4 Very High,3 High,3 Better,Below average,3,No,0
270,42,36 to 45,Female,Divorced,Research & Development,Manufacturing Director,2,2 College,Medical,Non-Travel,21,No,5265,Q3,16,1,11,5,3 to 5,3,0,2,2,5,3 High,3 High,2 Medium,3 High,3 Better,Below average,3,No,0
271,38,36 to 45,Male,Married,Research & Development,Manufacturing Director,2,4 Master,Life Sciences,Travel_Rarely,2,No,6553,Q3,14,0,14,1,Under 1 year,0,0,0,9,3,3 High,4 Very High,2 Medium,3 High,3 Better,Good,3,No,0
273,38,36 to 45,Male,Married,Research & Development,Manufacturing Director,2,3 Bachelor,Technical Degree,Travel_Rarely,29,No,6261,Q3,18,1,9,7,6 to 10,7,1,7,3,3,4 Very High,4 Very High,1 Low,3 High,1 Bad,Below average,3,No,0
274,27,26 to 35,Male,Married,Research & Development,Manufacturing Director,2,1 Below College,Technical Degree,Travel_Frequently,1,No,4298,Q2,19,1,6,2,1 to 2,2,2,0,5,1,1 Low,3 High,3 High,2 Medium,3 Better,Below average,3,No,0
275,49,46 to 60,Male,Divorced,Research & Development,Manufacturing Director,2,4 Master,Life Sciences,Non-Travel,18,Yes,6804,Q3,15,2,7,7,6 to 10,7,1,7,1,0,4 Very High,4 Very High,1 Low,3 High,3 Better,Good,3,No,0
277,34,26 to 35,Male,Divorced,Research & Development,Research Scientist,1,4 Master,Medical,Travel_Frequently,10,Yes,3815,Q2,17,1,5,5,3 to 5,3,2,0,1,4,3 High,4 Very High,4 Very High,3 High,4 Best,High,3,No,0
281,40,36 to 45,Male,Married,Research & Development,Laboratory Technician,2,2 College,Medical,Travel_Rarely,19,Yes,2741,Q1 lowest,15,1,15,7,6 to 10,2,3,7,8,2,4 Very High,3 High,3 High,3 High,4 Best,Good,3,No,0
282,38,36 to 45,Male,Married,Research & Development,Healthcare Representative,2,1 Below College,Medical,Travel_Rarely,29,Yes,6673,Q3,19,0,17,1,Under 1 year,0,0,0,7,2,1 Low,2 Medium,2 Medium,3 High,3 Better,Low,3,Yes,1
283,29,26 to 35,Female,Married,Sales,Sales Executive,3,3 Bachelor,Marketing,Travel_Rarely,27,No,7639,Q3,22,3,10,10,6 to 10,4,1,9,1,3,4 Very High,2 Medium,4 Very High,3 High,2 Good,Good,4,Yes,1
284,22,18 to 25,Male,Divorced,Research & Development,Research Scientist,1,3 Bachelor,Life Sciences,Travel_Rarely,5,Yes,2328,Q1 lowest,16,1,4,4,3 to 5,2,2,2,1,2,2 Medium,4 Very High,1 Low,4 Very High,2 Good,Below average,3,No,0
286,36,36 to 45,Female,Single,Research & Development,Laboratory Technician,1,1 Below College,Medical,Travel_Frequently,18,No,2153,Q1 lowest,13,0,8,8,6 to 10,1,1,7,1,2,4 Very High,2 Medium,1 Low,3 High,3 Better,Below average,3,No,0
287,40,36 to 45,Male,Married,Research & Development,Healthcare Representative,2,5 Doctor,Life Sciences,Non-Travel,9,No,4876,Q2,14,1,5,3,3 to 5,2,0,2,9,5,4 Very High,4 Very High,4 Very High,2 Medium,1 Bad,Good,3,No,0
288,46,46 to 60,Male,Divorced,Research & Development,Healthcare Representative,3,4 Master,Medical,Travel_Rarely,1,No,9396,Q4 highest,16,1,17,4,3 to 5,2,0,3,7,3,1 Low,4 Very High,3 High,3 High,3 Better,Below average,3,No,0
291,32,26 to 35,Male,Married,Sales,Sales Executive,3,4 Master,Medical,Travel_Rarely,4,No,10400,Q4 highest,11,0,14,14,Over 10,8,9,8,1,2,4 Very High,4 Very High,3 High,1 Low,2 Good,Good,3,Yes,1
